Attribute,Description
artist_name,"Name of artist, character"
track_name,"title of the track, character"
is_explicit,"is the track explicit, boolean"
album_release_date,"album release date, date"
genres,"genre associated with artist, factor"
danceability,"measure from 0.0 to 1.0 indicating how suitable a track is for dancing, based on a combination of musical elements, numeric"
valence,"measure from 0.0 to 1.0 indicating the musical positiveness conveyed by a track, numeric"
energy,"measure from 0.0 to 1.0 indicating the musical positiveness conveyed by a track, numeric"
loudness,"the overall loudness of a track in decibles (dB), numeric"
acousticness,"measure from 0.0 to 1.0 whether the track is acousitc, numeric"
instrumentalness,"predicts whether a track contains no vocals, numeric"
liveness,"dectes the presence of spoken words in a track, numeric"
key,"key the track is in, character"
tempo,"overall estimated tempo of a track in beats per minute (BPM), numeric"
mode,"modality of the track, factor"
duration_ms,"the length of the track in milliseconds, numeric"
time_signature,"estimated overall time signature of a track, integer"
popularity,"current popularity score of the track as determined by Spotify, numeric"
